scenario,treatment_var,panel,sample_group,period,treatment_group,n_couples
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,cd,All other couples,134
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,ce,"Wife key (non-edu), husband not / edu",19
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,ce,All other couples,125
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,cf,"Wife key (non-edu), husband not / edu",14
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,cf,All other couples,119
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,cg,"Wife key (non-edu), husband not / edu",16
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,cg,All other couples,123
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,ch,"Wife key (non-edu), husband not / edu",14
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,ch,All other couples,125
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,ci,"Wife key (non-edu), husband not / edu",20
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,ci,All other couples,125
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2009,"Wife key (non-edu), husband not / edu",93
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2009,All other couples,479
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2010,"Wife key (non-edu), husband not / edu",261
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2010,All other couples,1247
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2011,"Wife key (non-edu), husband not / edu",276
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2011,All other couples,1314
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2012,"Wife key (non-edu), husband not / edu",281
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2012,All other couples,1315
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2013,"Wife key (non-edu), husband not / edu",279
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2013,All other couples,1285
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2014,"Wife key (non-edu), husband not / edu",270
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2014,All other couples,1292
