treatment_var,panel,sample_group,period,treatment_group,2019_only,combined,gain
treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,ce,"Wife key (non-edu), husband not / edu",19,20,1
treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,ce,All other couples,125,147,22
treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,cf,"Wife key (non-edu), husband not / edu",14,15,1
treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,cf,All other couples,119,140,21
treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,cg,"Wife key (non-edu), husband not / edu",16,17,1
treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,cg,All other couples,123,143,20
treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,ch,"Wife key (non-edu), husband not / edu",14,15,1
treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,ch,All other couples,125,146,21
treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,ci,"Wife key (non-edu), husband not / edu",20,21,1
treat_wife_key_notedu_husb_not_or_edu,covid_wave,Older kids: 11-17,ci,All other couples,125,150,25
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2009,"Wife key (non-edu), husband not / edu",93,135,42
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2009,All other couples,479,648,169
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2010,"Wife key (non-edu), husband not / edu",261,361,100
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2010,All other couples,1247,1628,381
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2011,"Wife key (non-edu), husband not / edu",276,378,102
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2011,All other couples,1314,1719,405
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2012,"Wife key (non-edu), husband not / edu",281,383,102
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2012,All other couples,1315,1720,405
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2013,"Wife key (non-edu), husband not / edu",279,381,102
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2013,All other couples,1285,1694,409
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2014,"Wife key (non-edu), husband not / edu",270,375,105
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2014,All other couples,1292,1696,404
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2015,"Wife key (non-edu), husband not / edu",305,419,114
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2015,All other couples,1402,1864,462
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2016,"Wife key (non-edu), husband not / edu",321,439,118
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2016,All other couples,1433,1906,473
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2017,"Wife key (non-edu), husband not / edu",313,424,111
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2017,All other couples,1426,1873,447
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2018,"Wife key (non-edu), husband not / edu",322,451,129
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2018,All other couples,1460,1995,535
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2019,"Wife key (non-edu), husband not / edu",348,348,0
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2019,All other couples,1569,1569,0
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2020,"Wife key (non-edu), husband not / edu",161,205,44
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2020,All other couples,713,886,173
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2021,"Wife key (non-edu), husband not / edu",167,208,41
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2021,All other couples,851,1015,164
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2022,"Wife key (non-edu), husband not / edu",153,195,42
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2022,All other couples,786,959,173
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2023,"Wife key (non-edu), husband not / edu",163,202,39
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2023,All other couples,763,937,174
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2024,"Wife key (non-edu), husband not / edu",60,68,8
treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2024,All other couples,288,341,53
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2009,"Wife key (non-edu), husband not / edu",38,55,17
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2009,All other couples,187,248,61
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2010,"Wife key (non-edu), husband not / edu",91,132,41
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2010,All other couples,472,613,141
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2011,"Wife key (non-edu), husband not / edu",96,135,39
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2011,All other couples,501,654,153
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2012,"Wife key (non-edu), husband not / edu",99,138,39
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2012,All other couples,502,653,151
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2013,"Wife key (non-edu), husband not / edu",95,137,42
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2013,All other couples,490,643,153
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2014,"Wife key (non-edu), husband not / edu",91,132,41
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2014,All other couples,478,630,152
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2015,"Wife key (non-edu), husband not / edu",114,164,50
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2015,All other couples,554,740,186
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2016,"Wife key (non-edu), husband not / edu",115,163,48
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2016,All other couples,550,739,189
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2017,"Wife key (non-edu), husband not / edu",116,160,44
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2017,All other couples,560,735,175
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2018,"Wife key (non-edu), husband not / edu",120,173,53
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2018,All other couples,571,783,212
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2019,"Wife key (non-edu), husband not / edu",126,126,0
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2019,All other couples,611,611,0
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2020,"Wife key (non-edu), husband not / edu",51,69,18
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2020,All other couples,250,314,64
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2021,"Wife key (non-edu), husband not / edu",49,59,10
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2021,All other couples,312,375,63
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2022,"Wife key (non-edu), husband not / edu",52,70,18
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2022,All other couples,292,357,65
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2023,"Wife key (non-edu), husband not / edu",52,67,15
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2023,All other couples,281,349,68
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2024,"Wife key (non-edu), husband not / edu",18,21,3
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2024,All other couples,108,135,27
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2009,"Wife key (non-edu), husband not / edu",18,24,6
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2009,All other couples,88,123,35
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2010,"Wife key (non-edu), husband not / edu",39,52,13
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2010,All other couples,224,295,71
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2011,"Wife key (non-edu), husband not / edu",42,57,15
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2011,All other couples,239,313,74
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2012,"Wife key (non-edu), husband not / edu",44,60,16
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2012,All other couples,236,314,78
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2013,"Wife key (non-edu), husband not / edu",42,56,14
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2013,All other couples,225,299,74
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2014,"Wife key (non-edu), husband not / edu",41,57,16
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2014,All other couples,230,302,72
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2015,"Wife key (non-edu), husband not / edu",43,59,16
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2015,All other couples,241,316,75
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2016,"Wife key (non-edu), husband not / edu",44,58,14
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2016,All other couples,248,332,84
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2017,"Wife key (non-edu), husband not / edu",50,65,15
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2017,All other couples,240,317,77
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2018,"Wife key (non-edu), husband not / edu",45,61,16
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2018,All other couples,247,336,89
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2019,"Wife key (non-edu), husband not / edu",50,50,0
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2019,All other couples,268,268,0
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2020,"Wife key (non-edu), husband not / edu",21,25,4
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2020,All other couples,134,164,30
