treatment_var,panel,sample_group,period,treatment_group,2019_only,combined,gain
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2009,"Husband shutdown, wife not",8,12,4
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2009,All other couples,217,291,74
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2010,"Husband shutdown, wife not",22,33,11
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2010,All other couples,541,712,171
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2011,"Husband shutdown, wife not",26,39,13
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2011,All other couples,571,750,179
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2012,"Husband shutdown, wife not",26,38,12
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2012,All other couples,575,753,178
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2013,"Husband shutdown, wife not",25,37,12
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2013,All other couples,560,743,183
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2014,"Husband shutdown, wife not",23,35,12
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2014,All other couples,546,727,181
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2015,"Husband shutdown, wife not",31,46,15
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2015,All other couples,637,858,221
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2016,"Husband shutdown, wife not",33,48,15
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2016,All other couples,632,854,222
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2017,"Husband shutdown, wife not",31,44,13
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2017,All other couples,645,851,206
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2018,"Husband shutdown, wife not",32,48,16
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2018,All other couples,659,908,249
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2019,"Husband shutdown, wife not",35,35,0
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2019,All other couples,702,702,0
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2020,"Husband shutdown, wife not",11,16,5
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2020,All other couples,290,367,77
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2021,"Husband shutdown, wife not",21,25,4
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2021,All other couples,340,409,69
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2022,"Husband shutdown, wife not",18,22,4
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2022,All other couples,326,405,79
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2023,"Husband shutdown, wife not",14,18,4
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2023,All other couples,319,398,79
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2024,"Husband shutdown, wife not",8,10,2
treat_husb_shutdown_wife_not,history_future_year,Young kids: 0-10,2024,All other couples,118,146,28
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2009,"Husband shutdown, wife not",4,4,0
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2009,All other couples,102,143,41
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2010,"Husband shutdown, wife not",9,9,0
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2010,All other couples,254,338,84
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2011,"Husband shutdown, wife not",10,10,0
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2011,All other couples,271,360,89
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2012,"Husband shutdown, wife not",10,10,0
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2012,All other couples,270,364,94
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2013,"Husband shutdown, wife not",9,9,0
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2013,All other couples,258,346,88
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2014,"Husband shutdown, wife not",10,10,0
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2014,All other couples,261,349,88
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2015,"Husband shutdown, wife not",10,12,2
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2015,All other couples,274,363,89
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2016,"Husband shutdown, wife not",10,12,2
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2016,All other couples,282,378,96
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2017,"Husband shutdown, wife not",8,10,2
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2017,All other couples,282,372,90
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2018,"Husband shutdown, wife not",9,11,2
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2018,All other couples,283,386,103
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2019,"Husband shutdown, wife not",10,10,0
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2019,All other couples,308,308,0
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2020,"Husband shutdown, wife not",6,7,1
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2020,All other couples,149,182,33
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2021,"Husband shutdown, wife not",4,4,0
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2021,All other couples,175,207,32
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2022,"Husband shutdown, wife not",4,5,1
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2022,All other couples,137,164,27
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2023,"Husband shutdown, wife not",3,3,0
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2023,All other couples,143,169,26
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2024,"Husband shutdown, wife not",2,2,0
treat_husb_shutdown_wife_not,history_future_year,Older kids: 11-17,2024,All other couples,68,73,5
